Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Referee,Home_xG,Away_xG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season,League,Div
2018-09-18,Barcelona,PSV,4,0,H,Tasos Sidiropoulos,0.0,0.0,16.58,12.5,6.42,4.33,10.17,13.67,9.33,13.83,1.75,2.33,0.08,0.0,1819,Champions_League,CL
2018-09-18,Inter,Tottenham Hotspur,2,1,H,Ruddy Buquet,0.0,0.0,15.17,15.46,4.33,5.69,13.83,12.69,23.83,17.77,2.5,1.77,0.0,0.08,1819,Champions_League,CL
2018-09-18,Liverpool,Paris Saint-Germain,3,2,H,Baris Şimşek,0.0,0.0,14.31,14.88,4.0,7.12,12.08,10.5,17.31,15.62,1.62,2.25,0.0,0.0,1819,Champions_League,CL
2018-09-18,Red Star,Napoli,0,0,D,Tomasz Musiał,0.0,0.0,7.0,15.17,2.67,5.17,14.5,11.33,10.67,17.83,2.83,2.17,0.0,0.0,1819,Champions_League,CL
2018-09-18,Schalke 04,Porto,1,1,D,Ricardo de Burgos,0.0,0.0,10.0,13.0,3.25,4.8,12.88,14.9,16.0,18.0,2.0,2.0,0.0,0.0,1819,Champions_League,CL
2018-09-18,Monaco,Atlético Madrid,1,2,A,William Collum,0.0,0.0,10.0,11.12,3.17,3.75,11.33,11.5,19.33,16.25,2.17,3.0,0.0,0.12,1819,Champions_League,CL
2018-09-18,Club Brugge,Dortmund,0,1,A,Danny Makkelie,0.0,0.0,8.0,11.62,2.5,3.88,10.17,7.25,14.5,12.0,1.33,1.38,0.0,0.0,1819,Champions_League,CL
2018-09-18,Galatasaray,Loko Moscow,3,0,H,Luca Banti,0.0,0.0,11.0,12.5,3.0,2.17,14.17,15.0,18.5,12.33,2.5,2.67,0.17,0.17,1819,Champions_League,CL
2018-09-19,Ajax,AEK Athens,3,0,H,Carlos del Cerro,0.0,0.0,15.25,6.5,5.67,1.5,13.58,13.5,13.42,10.83,2.33,2.5,0.08,0.33,1819,Champions_League,CL
2018-09-19,Shakhtar Donetsk,Hoffenheim,2,2,D,Jakob Kehlet,0.0,0.0,11.5,15.33,4.17,5.17,9.0,13.67,11.33,18.33,1.67,2.5,0.0,0.33,1819,Champions_League,CL
2018-09-19,Benfica,Bayern Munich,0,2,A,Antonio Matéu Lahoz,0.0,0.0,13.17,13.62,5.0,5.5,12.17,10.88,13.83,15.88,2.5,1.5,0.17,0.12,1819,Champions_League,CL
2018-09-19,Manchester City,Lyon,1,2,A,Daniele Orsato,0.0,0.0,17.3,14.75,6.4,5.25,11.9,10.38,15.8,11.12,1.7,1.62,0.1,0.0,1819,Champions_League,CL
2018-09-19,Young Boys,Manchester Utd,0,3,A,Deniz Aytekin,0.0,0.0,11.83,11.4,2.5,2.9,18.17,15.6,18.5,17.1,2.67,2.1,0.33,0.1,1819,Champions_League,CL
2018-09-19,Real Madrid,Roma,3,0,H,Björn Kuipers,0.0,0.0,19.12,16.12,7.25,6.62,10.0,12.5,23.88,19.5,1.75,1.62,0.12,0.12,1819,Champions_League,CL
2018-09-19,Viktoria Plzeň,CSKA Moscow,2,2,D,Benoît Bastien,0.0,0.0,10.67,12.5,3.17,4.83,12.33,13.83,12.0,13.0,1.67,2.67,0.0,0.33,1819,Champions_League,CL
2018-09-19,Valencia,Juventus,0,2,A,Felix Brych,0.0,0.0,11.33,15.6,2.83,4.0,13.5,12.6,14.5,22.1,3.33,1.6,0.0,0.1,1819,Champions_League,CL
2018-10-02,Juventus,Young Boys,3,0,H,Sergey Karasev,0.0,0.0,15.6,11.83,4.0,2.5,12.6,18.17,22.1,18.5,1.6,2.67,0.1,0.33,1819,Champions_League,CL
2018-10-02,Hoffenheim,Manchester City,1,2,A,Matej Jug,0.0,0.0,15.33,17.3,5.17,6.4,13.67,11.9,18.33,15.8,2.5,1.7,0.33,0.1,1819,Champions_League,CL
2018-10-02,Manchester Utd,Valencia,0,0,D,Slavko Vinčič,0.0,0.0,11.4,11.33,2.9,2.83,15.6,13.5,17.1,14.5,2.1,3.33,0.1,0.0,1819,Champions_League,CL
2018-10-02,Bayern Munich,Ajax,1,1,D,Pavel Královec,0.0,0.0,13.62,15.25,5.5,5.67,10.88,13.58,15.88,13.42,1.5,2.33,0.12,0.08,1819,Champions_League,CL
2018-10-02,Lyon,Shakhtar Donetsk,2,2,D,Aleksandrs Golubevs,0.0,0.0,14.75,11.5,5.25,4.17,10.38,9.0,11.12,11.33,1.62,1.67,0.0,0.0,1819,Champions_League,CL
2018-10-02,Roma,Viktoria Plzeň,5,0,H,Paweł Raczkowski,0.0,0.0,16.12,10.67,6.62,3.17,12.5,12.33,19.5,12.0,1.62,1.67,0.12,0.0,1819,Champions_League,CL
2018-10-02,AEK Athens,Benfica,2,3,A,Orel Grinfeeld,0.0,0.0,6.5,13.17,1.5,5.0,13.5,12.17,10.83,13.83,2.5,2.5,0.33,0.17,1819,Champions_League,CL
2018-10-02,CSKA Moscow,Real Madrid,1,0,H,Ovidiu Hațegan,0.0,0.0,12.5,19.12,4.83,7.25,13.83,10.0,13.0,23.88,2.67,1.75,0.33,0.12,1819,Champions_League,CL
2018-10-03,Paris Saint-Germain,Red Star,6,1,H,Artur Dias,0.0,0.0,14.88,7.0,7.12,2.67,10.5,14.5,15.62,10.67,2.25,2.83,0.0,0.0,1819,Champions_League,CL
2018-10-03,Loko Moscow,Schalke 04,0,1,A,Anthony Taylor,0.0,0.0,12.5,10.0,2.17,3.25,15.0,12.88,12.33,16.0,2.67,2.0,0.17,0.0,1819,Champions_League,CL
2018-10-03,Porto,Galatasaray,1,0,H,Michael Oliver,0.0,0.0,13.0,11.0,4.8,3.0,14.9,14.17,18.0,18.5,2.0,2.5,0.0,0.17,1819,Champions_League,CL
2018-10-03,Tottenham Hotspur,Barcelona,2,4,A,Tobias Stieler,0.0,0.0,15.46,16.58,5.69,6.42,12.69,10.17,17.77,9.33,1.77,1.75,0.08,0.08,1819,Champions_League,CL
2018-10-03,Dortmund,Monaco,3,0,H,Aliaksei Kulbakou,0.0,0.0,11.62,10.0,3.88,3.17,7.25,11.33,12.0,19.33,1.38,2.17,0.0,0.0,1819,Champions_League,CL
2018-10-03,PSV,Inter,1,2,A,Danilo Grujić,0.0,0.0,12.5,15.17,4.33,4.33,13.67,13.83,13.83,23.83,2.33,2.5,0.0,0.0,1819,Champions_League,CL
2018-10-03,Atlético Madrid,Club Brugge,3,1,H,Filip Glova,0.0,0.0,11.12,8.0,3.75,2.5,11.5,10.17,16.25,14.5,3.0,1.33,0.12,0.0,1819,Champions_League,CL
2018-10-03,Napoli,Liverpool,1,0,H,Sándor Andó-Szabó,0.0,0.0,15.17,14.31,5.17,4.0,11.33,12.08,17.83,17.31,2.17,1.62,0.0,0.0,1819,Champions_League,CL
2018-10-23,Young Boys,Valencia,1,1,D,Aleksandrs Anufrijevs,0.0,0.0,11.83,11.33,2.5,2.83,18.17,13.5,18.5,14.5,2.67,3.33,0.33,0.0,1819,Champions_League,CL
2018-10-23,AEK Athens,Bayern Munich,0,2,A,Aliaksei Kulbakou,0.0,0.0,6.5,13.62,1.5,5.5,13.5,10.88,10.83,15.88,2.5,1.5,0.33,0.12,1819,Champions_League,CL
2018-10-23,Manchester Utd,Juventus,0,1,A,Danilo Grujić,0.0,0.0,11.4,15.6,2.9,4.0,15.6,12.6,17.1,22.1,2.1,1.6,0.1,0.1,1819,Champions_League,CL
2018-10-23,Roma,CSKA Moscow,3,0,H,Tasos Sidiropoulos,0.0,0.0,16.12,12.5,6.62,4.83,12.5,13.83,19.5,13.0,1.62,2.67,0.12,0.33,1819,Champions_League,CL
2018-10-23,Ajax,Benfica,1,0,H,Ruddy Buquet,0.0,0.0,15.25,13.17,5.67,5.0,13.58,12.17,13.42,13.83,2.33,2.5,0.08,0.17,1819,Champions_League,CL
2018-10-23,Hoffenheim,Lyon,3,3,D,Alberto Undiano,0.0,0.0,15.33,14.75,5.17,5.25,13.67,10.38,18.33,11.12,2.5,1.62,0.33,0.0,1819,Champions_League,CL
2018-10-23,Real Madrid,Viktoria Plzeň,2,1,H,Orel Grinfeeld,0.0,0.0,19.12,10.67,7.25,3.17,10.0,12.33,23.88,12.0,1.75,1.67,0.12,0.0,1819,Champions_League,CL
2018-10-23,Shakhtar Donetsk,Manchester City,0,3,A,Carlos del Cerro,0.0,0.0,11.5,17.3,4.17,6.4,9.0,11.9,11.33,15.8,1.67,1.7,0.0,0.1,1819,Champions_League,CL
2018-10-24,Club Brugge,Monaco,1,1,D,Michael Oliver,0.0,0.0,8.0,10.0,2.5,3.17,10.17,11.33,14.5,19.33,1.33,2.17,0.0,0.0,1819,Champions_League,CL
2018-10-24,PSV,Tottenham Hotspur,2,2,D,Slavko Vinčič,0.0,0.0,12.5,15.46,4.33,5.69,13.67,12.69,13.83,17.77,2.33,1.77,0.0,0.08,1819,Champions_League,CL
2018-10-24,Liverpool,Red Star,4,0,H,Daniel Siebert,0.0,0.0,14.31,7.0,4.0,2.67,12.08,14.5,17.31,10.67,1.62,2.83,0.0,0.0,1819,Champions_League,CL
2018-10-24,Barcelona,Inter,2,0,H,Ovidiu Hațegan,0.0,0.0,16.58,15.17,6.42,4.33,10.17,13.83,9.33,23.83,1.75,2.5,0.08,0.0,1819,Champions_League,CL
2018-10-24,Dortmund,Atlético Madrid,4,0,H,Anthony Taylor,0.0,0.0,11.62,11.12,3.88,3.75,7.25,11.5,12.0,16.25,1.38,3.0,0.0,0.12,1819,Champions_League,CL
2018-10-24,Paris Saint-Germain,Napoli,2,2,D,Tobias Stieler,0.0,0.0,14.88,15.17,7.12,5.17,10.5,11.33,15.62,17.83,2.25,2.17,0.0,0.0,1819,Champions_League,CL
2018-10-24,Loko Moscow,Porto,1,3,A,John Beaton,0.0,0.0,12.5,13.0,2.17,4.8,15.0,14.9,12.33,18.0,2.67,2.0,0.17,0.0,1819,Champions_League,CL
2018-10-24,Galatasaray,Schalke 04,0,0,D,Benoît Bastien,0.0,0.0,11.0,10.0,3.0,3.25,14.17,12.88,18.5,16.0,2.5,2.0,0.17,0.0,1819,Champions_League,CL
2018-11-06,Monaco,Club Brugge,0,4,A,Hugo Miguel,0.0,0.0,10.0,8.0,3.17,2.5,11.33,10.17,19.33,14.5,2.17,1.33,0.0,0.0,1819,Champions_League,CL
