Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Referee,Home_xG,Away_xG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season,League,Div
2016-09-13,Benfica,Beşiktaş,1,1,D,Milorad Mažić,0.0,0.0,11.12,9.33,3.5,3.17,16.0,12.33,13.62,16.67,1.62,2.5,0.0,0.17,1617,Champions_League,CL
2016-09-13,Basel,Ludogorets Razgrad,1,1,D,Aliaksei Kulbakov,0.0,0.0,10.5,10.0,3.33,2.67,18.17,11.33,21.0,14.67,2.17,1.5,0.17,0.0,1617,Champions_League,CL
2016-09-13,Paris Saint-Germain,Arsenal,1,1,D,Viktor Kassai,0.0,0.0,15.38,11.75,6.12,5.25,12.88,12.12,17.62,14.75,2.12,1.88,0.12,0.12,1617,Champions_League,CL
2016-09-13,Bayern Munich,Rostov,5,0,H,Anthony Taylor,0.0,0.0,18.8,8.0,7.4,3.17,12.0,10.83,23.4,11.17,2.0,1.67,0.2,0.0,1617,Champions_League,CL
2016-09-13,Barcelona,Celtic,7,0,H,Ovidiu Hațegan,0.0,0.0,13.1,13.5,5.2,2.83,12.3,10.5,14.8,14.0,2.7,1.33,0.1,0.0,1617,Champions_League,CL
2016-09-13,PSV,Atlético Madrid,0,1,A,Martin Atkinson,0.0,0.0,9.33,13.17,3.67,4.67,9.17,10.33,16.5,17.33,1.0,1.75,0.0,0.0,1617,Champions_League,CL
2016-09-13,Dynamo Kyiv,Napoli,1,2,A,William Collum,0.0,0.0,10.17,13.5,4.5,4.88,14.67,13.75,17.33,22.0,2.5,1.25,0.17,0.0,1617,Champions_League,CL
2016-09-14,Tottenham Hotspur,Monaco,1,2,A,Gianluca Rocchi,0.0,0.0,13.83,13.92,4.0,4.67,11.67,11.75,20.83,27.17,1.0,2.33,0.0,0.08,1617,Champions_League,CL
2016-09-14,Porto,FC Copenhagen,1,1,D,Matej Jug,0.0,0.0,18.5,16.83,4.25,4.17,10.5,10.0,26.38,26.5,2.12,1.5,0.12,0.17,1617,Champions_League,CL
2016-09-14,Manchester City,Gladbach,4,0,H,Björn Kuipers,0.0,0.0,17.0,13.83,5.5,3.17,11.62,9.67,20.12,13.33,2.0,1.67,0.12,0.17,1617,Champions_League,CL
2016-09-14,Real Madrid,Sporting CP,2,1,H,Paolo Tagliavento,0.0,0.0,18.31,12.0,7.15,3.83,9.46,13.0,20.54,19.67,1.46,2.67,0.0,0.17,1617,Champions_League,CL
2016-09-14,Juventus,Sevilla,0,0,D,Deniz Aytekin,0.0,0.0,13.85,13.12,5.15,4.62,14.62,9.62,19.85,20.0,2.38,2.38,0.15,0.25,1617,Champions_League,CL
2016-09-14,Lyon,Dinamo Zagreb,3,0,H,Martin Strömbergsson,0.0,0.0,17.5,10.83,5.5,0.83,15.5,11.0,18.5,14.33,2.33,2.17,0.0,0.17,1617,Champions_League,CL
2016-09-14,Leverkusen,CSKA Moscow,2,2,D,Daniele Orsato,0.0,0.0,13.25,8.33,5.12,3.33,13.88,11.83,16.5,12.33,2.0,1.17,0.0,0.0,1617,Champions_League,CL
2016-09-14,Legia Warsaw,Dortmund,0,6,A,Sergey Karasev,0.0,0.0,13.33,15.4,3.67,7.1,12.33,10.8,19.0,16.5,2.5,1.9,0.17,0.0,1617,Champions_League,CL
2016-09-14,Club Brugge,Leicester City,0,3,A,Tasos Sidiropoulos,0.0,0.0,8.5,9.4,3.33,3.5,12.33,11.9,16.0,13.3,2.17,1.9,0.0,0.0,1617,Champions_League,CL
2016-09-27,Sporting CP,Legia Warsaw,2,0,H,Michael Oliver,0.0,0.0,12.0,13.33,3.83,3.67,13.0,12.33,19.67,19.0,2.67,2.5,0.17,0.17,1617,Champions_League,CL
2016-09-27,Leicester City,Porto,1,0,H,Cüneyt Çakιr,0.0,0.0,9.4,18.5,3.5,4.25,11.9,10.5,13.3,26.38,1.9,2.12,0.0,0.12,1617,Champions_League,CL
2016-09-27,Sevilla,Lyon,1,0,H,Bas Nijhuis,0.0,0.0,13.12,17.5,4.62,5.5,9.62,15.5,20.0,18.5,2.38,2.33,0.25,0.0,1617,Champions_League,CL
2016-09-27,Dortmund,Real Madrid,2,2,D,Mark Clattenburg,0.0,0.0,15.4,18.31,7.1,7.15,10.8,9.46,16.5,20.54,1.9,1.46,0.0,0.0,1617,Champions_League,CL
2016-09-27,Dinamo Zagreb,Juventus,0,4,A,Jorge de Sousa,0.0,0.0,10.83,13.85,0.83,5.15,11.0,14.62,14.33,19.85,2.17,2.38,0.17,0.15,1617,Champions_League,CL
2016-09-27,Monaco,Leverkusen,1,1,D,David Fernández,0.0,0.0,13.92,13.25,4.67,5.12,11.75,13.88,27.17,16.5,2.33,2.0,0.08,0.0,1617,Champions_League,CL
2016-09-27,FC Copenhagen,Club Brugge,4,0,H,Craig Thomson,0.0,0.0,16.83,8.5,4.17,3.33,10.0,12.33,26.5,16.0,1.5,2.17,0.17,0.0,1617,Champions_League,CL
2016-09-27,CSKA Moscow,Tottenham Hotspur,0,1,A,Antonio Matéu Lahoz,0.0,0.0,8.33,13.83,3.33,4.0,11.83,11.67,12.33,20.83,1.17,1.0,0.0,0.0,1617,Champions_League,CL
2016-09-28,Arsenal,Basel,2,0,H,Danny Makkelie,0.0,0.0,11.75,10.5,5.25,3.33,12.12,18.17,14.75,21.0,1.88,2.17,0.12,0.17,1617,Champions_League,CL
2016-09-28,Celtic,Manchester City,3,3,D,Nicola Rizzoli,0.0,0.0,13.5,17.0,2.83,5.5,10.5,11.62,14.0,20.12,1.33,2.0,0.0,0.12,1617,Champions_League,CL
2016-09-28,Atlético Madrid,Bayern Munich,1,0,H,Szymon Marciniak,0.0,0.0,13.17,18.8,4.67,7.4,10.33,12.0,17.33,23.4,1.75,2.0,0.0,0.2,1617,Champions_League,CL
2016-09-28,Napoli,Benfica,4,2,H,Felix Brych,0.0,0.0,13.5,11.12,4.88,3.5,13.75,16.0,22.0,13.62,1.25,1.62,0.0,0.0,1617,Champions_League,CL
2016-09-28,Gladbach,Barcelona,1,2,A,Damir Skomina,0.0,0.0,13.83,13.1,3.17,5.2,9.67,12.3,13.33,14.8,1.67,2.7,0.17,0.1,1617,Champions_League,CL
2016-09-28,Beşiktaş,Dynamo Kyiv,1,1,D,Felix Zwayer,0.0,0.0,9.33,10.17,3.17,4.5,12.33,14.67,16.67,17.33,2.5,2.5,0.17,0.17,1617,Champions_League,CL
2016-09-28,Rostov,PSV,2,2,D,Clément Turpin,0.0,0.0,8.0,9.33,3.17,3.67,10.83,9.17,11.17,16.5,1.67,1.0,0.0,0.0,1617,Champions_League,CL
2016-09-28,Ludogorets Razgrad,Paris Saint-Germain,1,3,A,Pavel Královec,0.0,0.0,10.0,15.38,2.67,6.12,11.33,12.88,14.67,17.62,1.5,2.12,0.0,0.12,1617,Champions_League,CL
2016-10-18,Leicester City,FC Copenhagen,1,0,H,Nicola Rizzoli,0.0,0.0,9.4,16.83,3.5,4.17,11.9,10.0,13.3,26.5,1.9,1.5,0.0,0.17,1617,Champions_League,CL
2016-10-18,Sporting CP,Dortmund,1,2,A,Damir Skomina,0.0,0.0,12.0,15.4,3.83,7.1,13.0,10.8,19.67,16.5,2.67,1.9,0.17,0.0,1617,Champions_League,CL
2016-10-18,Lyon,Juventus,0,1,A,Szymon Marciniak,0.0,0.0,17.5,13.85,5.5,5.15,15.5,14.62,18.5,19.85,2.33,2.38,0.0,0.15,1617,Champions_League,CL
