Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Referee,Home_xG,Away_xG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season,League,Div
2019-09-17,Lyon,Zenit,1,1,D,Michael Oliver,0.0,0.0,11.9,9.83,3.9,3.33,12.4,10.5,18.5,16.83,2.2,2.83,0.0,0.17,1920,Champions_League,CL
2019-09-17,Inter,Slavia Prague,1,1,D,Ruddy Buquet,0.0,0.0,12.33,15.0,4.67,5.5,13.0,15.5,11.83,15.5,2.83,2.67,0.0,0.0,1920,Champions_League,CL
2019-09-17,Benfica,RB Leipzig,1,2,A,Tasos Sidiropoulos,0.0,0.0,13.67,15.4,4.67,4.6,10.17,15.2,19.17,22.8,1.33,2.0,0.0,0.0,1920,Champions_League,CL
2019-09-17,Chelsea,Valencia,0,1,A,Cüneyt Çakιr,0.0,0.0,15.5,12.62,5.12,4.38,12.62,9.25,20.25,16.88,1.75,2.38,0.12,0.25,1920,Champions_League,CL
2019-09-17,RB Salzburg,Genk,6,2,H,Felix Zwayer,0.0,0.0,15.5,11.17,5.83,3.5,15.33,7.83,12.83,20.83,1.33,1.67,0.0,0.0,1920,Champions_League,CL
2019-09-17,Ajax,Lille,3,0,H,Srđan Jovanović,0.0,0.0,12.67,14.17,4.0,4.17,15.5,14.0,17.83,18.17,3.33,2.33,0.33,0.0,1920,Champions_League,CL
2019-09-17,Napoli,Liverpool,2,0,H,Felix Brych,0.0,0.0,13.5,18.25,3.0,5.75,9.25,11.25,18.0,27.12,1.75,1.12,0.0,0.0,1920,Champions_League,CL
2019-09-17,Dortmund,Barcelona,0,0,D,Ovidiu Hațegan,0.0,0.0,11.88,11.44,4.0,4.67,11.75,11.33,12.0,9.22,1.75,2.78,0.25,0.11,1920,Champions_League,CL
2019-09-18,Club Brugge,Galatasaray,0,0,D,Slavko Vinčič,0.0,0.0,10.17,8.33,2.5,1.5,15.67,15.67,16.5,14.33,2.83,3.5,0.5,0.0,1920,Champions_League,CL
2019-09-18,Olympiacos,Tottenham Hotspur,2,2,D,Gianluca Rocchi,0.0,0.0,12.5,12.0,3.33,5.62,12.5,12.0,16.17,14.75,2.33,1.75,0.17,0.0,1920,Champions_League,CL
2019-09-18,Paris Saint-Germain,Real Madrid,3,0,H,Anthony Taylor,0.0,0.0,12.09,17.25,5.36,6.62,12.36,8.75,12.55,18.25,2.64,1.62,0.0,0.12,1920,Champions_League,CL
2019-09-18,Dinamo Zagreb,Atalanta,4,0,H,Jesús Gil,0.0,0.0,8.17,12.56,3.0,4.44,15.0,16.89,11.67,15.78,2.67,2.78,0.17,0.0,1920,Champions_League,CL
2019-09-18,Leverkusen,Loko Moscow,1,2,A,Paweł Raczkowski,0.0,0.0,13.67,9.17,2.67,3.5,15.33,13.83,22.67,8.83,1.17,2.0,0.17,0.0,1920,Champions_League,CL
2019-09-18,Atlético Madrid,Juventus,2,2,D,Danny Makkelie,0.0,0.0,13.22,13.5,4.78,4.5,12.44,10.62,17.78,23.88,1.78,1.25,0.0,0.0,1920,Champions_League,CL
2019-09-18,Bayern Munich,Red Star,3,0,H,Bobby Madden,0.0,0.0,21.73,9.17,8.82,2.83,12.0,10.33,24.73,11.33,1.18,2.33,0.0,0.0,1920,Champions_League,CL
2019-09-18,Shakhtar Donetsk,Manchester City,0,3,A,Artur Soares Dias,0.0,0.0,10.0,15.89,3.67,6.44,8.67,11.11,8.67,19.44,1.83,1.67,0.33,0.22,1920,Champions_League,CL
2019-10-01,Atalanta,Shakhtar Donetsk,1,2,A,Tobias Stieler,0.0,0.0,12.56,10.0,4.44,3.67,16.89,8.67,15.78,8.67,2.78,1.83,0.0,0.33,1920,Champions_League,CL
2019-10-01,Real Madrid,Club Brugge,2,2,D,Georgi Kabakov,0.0,0.0,17.25,10.17,6.62,2.5,8.75,15.67,18.25,16.5,1.62,2.83,0.12,0.5,1920,Champions_League,CL
2019-10-01,Tottenham Hotspur,Bayern Munich,2,7,A,Clément Turpin,0.0,0.0,12.0,21.73,5.62,8.82,12.0,12.0,14.75,24.73,1.75,1.18,0.0,0.0,1920,Champions_League,CL
2019-10-01,Manchester City,Dinamo Zagreb,2,0,H,Serdar Gözübüyük,0.0,0.0,15.89,8.17,6.44,3.0,11.11,15.0,19.44,11.67,1.67,2.67,0.22,0.17,1920,Champions_League,CL
2019-10-01,Red Star,Olympiacos,3,1,H,Benoît Bastien,0.0,0.0,9.17,12.5,2.83,3.33,10.33,12.5,11.33,16.17,2.33,2.33,0.0,0.17,1920,Champions_League,CL
