Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Referee,Home_xG,Away_xG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season,League,Div
2020-10-20,Dynamo Kyiv,Juventus,0,2,A,Ovidiu Hațegan,0.0,0.0,7.17,15.25,3.5,6.0,11.0,14.75,12.0,21.5,1.5,2.75,0.17,0.12,2021,Champions_League,CL
2020-10-20,Zenit,Club Brugge,1,2,A,Benoît Bastien,0.0,0.0,9.83,9.0,2.33,2.67,11.67,12.67,17.0,16.83,2.17,1.67,0.0,0.17,2021,Champions_League,CL
2020-10-20,Chelsea,Sevilla,0,0,D,Davide Massa,0.0,0.0,10.77,16.0,4.0,6.12,13.92,10.88,14.23,26.12,1.54,2.5,0.0,0.12,2021,Champions_League,CL
2020-10-20,RB Leipzig,Başakşehir,2,0,H,Jesús Gil,0.0,0.0,12.38,10.67,3.75,3.67,16.12,11.83,14.25,16.67,2.62,3.0,0.0,0.0,2021,Champions_League,CL
2020-10-20,Barcelona,Ferencváros,5,1,H,Sandro Schärer,0.0,0.0,17.12,10.17,6.88,2.33,10.25,12.67,11.75,11.5,1.5,2.67,0.12,0.0,2021,Champions_League,CL
2020-10-20,Lazio,Dortmund,3,1,H,Clément Turpin,0.0,0.0,11.12,11.8,4.38,4.9,9.5,9.8,15.25,12.1,2.88,0.9,0.0,0.0,2021,Champions_League,CL
2020-10-20,Paris Saint-Germain,Manchester Utd,1,2,A,Antonio Matéu Lahoz,0.0,0.0,11.67,13.67,3.92,5.33,10.83,13.5,13.08,17.0,2.58,2.17,0.33,0.17,2021,Champions_League,CL
2020-10-20,Rennes,Krasnodar,1,1,D,Anastasios Sidiropoulos,0.0,0.0,11.83,10.83,4.17,2.83,17.0,11.67,21.67,12.33,2.83,1.67,0.17,0.0,2021,Champions_League,CL
2020-10-21,RB Salzburg,Loko Moscow,2,2,D,Serdar Gözübüyük,0.0,0.0,17.17,6.5,6.5,2.5,15.17,11.17,17.17,11.5,1.83,2.0,0.0,0.0,2021,Champions_League,CL
2020-10-21,Real Madrid,Shakhtar Donetsk,2,3,A,Srđan Jovanović,0.0,0.0,13.42,6.83,5.08,2.83,10.42,8.67,17.58,6.5,2.0,1.17,0.0,0.0,2021,Champions_League,CL
2020-10-21,Manchester City,Porto,3,1,H,Andris Treimanis,0.0,0.0,12.85,7.9,5.46,3.5,10.15,13.1,15.31,13.6,1.38,2.3,0.0,0.2,2021,Champions_League,CL
2020-10-21,Inter,Gladbach,2,2,D,Björn Kuipers,0.0,0.0,13.5,9.12,3.33,3.88,12.67,13.0,22.17,10.62,3.67,1.5,0.17,0.0,2021,Champions_League,CL
2020-10-21,Bayern Munich,Atlético Madrid,4,0,H,Michael Oliver,0.0,0.0,16.2,11.88,5.7,3.88,13.6,11.88,22.8,20.25,2.0,2.12,0.1,0.12,2021,Champions_League,CL
2020-10-21,Ajax,Liverpool,0,1,A,Felix Brych,0.0,0.0,11.5,10.9,4.67,4.3,14.83,12.4,15.5,15.6,1.83,1.7,0.17,0.0,2021,Champions_League,CL
2020-10-21,Midtjylland,Atalanta,0,4,A,Artur Soares Dias,0.0,0.0,10.17,11.38,3.5,5.12,12.0,11.62,16.0,14.62,2.0,1.38,0.17,0.12,2021,Champions_League,CL
2020-10-21,Olympiacos,Marseille,1,0,H,Daniele Orsato,0.0,0.0,7.33,7.83,1.67,1.83,12.0,12.5,15.0,14.17,1.83,2.5,0.17,0.17,2021,Champions_League,CL
2020-10-27,Shakhtar Donetsk,Inter,0,0,D,Georgi Kabakov,0.0,0.0,6.83,13.5,2.83,3.33,8.67,12.67,6.5,22.17,1.17,3.67,0.0,0.17,2021,Champions_League,CL
2020-10-27,Porto,Olympiacos,2,0,H,Daniel Siebert,0.0,0.0,7.9,7.33,3.5,1.67,13.1,12.0,13.6,15.0,2.3,1.83,0.2,0.17,2021,Champions_League,CL
2020-10-27,Liverpool,Midtjylland,2,0,H,Paweł Raczkowski,0.0,0.0,10.9,10.17,4.3,3.5,12.4,12.0,15.6,16.0,1.7,2.0,0.0,0.17,2021,Champions_League,CL
2020-10-27,Loko Moscow,Bayern Munich,1,2,A,István Kovács,0.0,0.0,6.5,16.2,2.5,5.7,11.17,13.6,11.5,22.8,2.0,2.0,0.0,0.1,2021,Champions_League,CL
2020-10-27,Atlético Madrid,RB Salzburg,3,2,H,Ovidiu Hațegan,0.0,0.0,11.88,17.17,3.88,6.5,11.88,15.17,20.25,17.17,2.12,1.83,0.12,0.0,2021,Champions_League,CL
2020-10-27,Atalanta,Ajax,2,2,D,Damir Skomina,0.0,0.0,11.38,11.5,5.12,4.67,11.62,14.83,14.62,15.5,1.38,1.83,0.12,0.17,2021,Champions_League,CL
2020-10-27,Marseille,Manchester City,0,3,A,Tobias Stieler,0.0,0.0,7.83,12.85,1.83,5.46,12.5,10.15,14.17,15.31,2.5,1.38,0.17,0.0,2021,Champions_League,CL
2020-10-27,Gladbach,Real Madrid,2,2,D,Orel Grinfeeld,0.0,0.0,9.12,13.42,3.88,5.08,13.0,10.42,10.62,17.58,1.5,2.0,0.0,0.0,2021,Champions_League,CL
