Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Referee,Home_xG,Away_xG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season,League,Div
2023-09-19,Young Boys,RB Leipzig,1,3,A,Enea Jorgji,0.0,0.0,12.17,15.5,3.5,5.12,14.5,11.0,15.83,16.25,2.5,2.25,0.17,0.0,2324,Champions_League,CL
2023-09-19,Milan,Newcastle United,0,0,D,José Sánchez,0.0,0.0,15.67,10.33,4.5,4.17,11.83,11.0,17.17,13.33,2.83,1.83,0.0,0.0,2324,Champions_League,CL
2023-09-19,Manchester City,Red Star,3,1,H,João Pinheiro,0.0,0.0,21.3,13.83,7.9,4.5,7.4,13.67,16.1,16.5,1.0,3.5,0.0,0.0,2324,Champions_League,CL
2023-09-19,Barcelona,Antwerp,5,0,H,Radu Petrescu,0.0,0.0,15.8,9.17,5.5,3.5,10.4,9.67,17.7,16.33,3.0,2.5,0.2,0.33,2324,Champions_League,CL
2023-09-19,Paris Saint-Germain,Dortmund,2,0,H,Jesús Gil,0.0,0.0,17.58,13.08,5.25,4.69,11.17,10.23,19.08,14.69,2.5,1.77,0.0,0.0,2324,Champions_League,CL
2023-09-19,Lazio,Atlético Madrid,1,1,D,Slavko Vinčič,0.0,0.0,11.38,13.6,3.25,5.2,10.5,11.5,13.12,17.3,3.0,2.5,0.0,0.1,2324,Champions_League,CL
2023-09-19,Feyenoord,Celtic,2,0,H,Irfan Peljto,0.0,0.0,15.0,7.5,5.0,3.5,12.17,8.5,18.83,10.0,2.33,2.67,0.0,0.5,2324,Champions_League,CL
2023-09-19,Shakhtar Donetsk,Porto,1,3,A,Davide Massa,0.0,0.0,11.5,12.88,4.33,5.62,11.67,11.75,9.5,11.62,2.5,1.88,0.0,0.0,2324,Champions_League,CL
2023-09-20,Real Madrid,Union Berlin,1,0,H,Espen Eskås,0.0,0.0,16.31,9.5,5.54,3.33,9.92,13.5,16.38,17.33,1.69,2.67,0.0,0.0,2324,Champions_League,CL
2023-09-20,Galatasaray,FC Copenhagen,2,2,D,Georgi Kabakov,0.0,0.0,15.0,10.25,4.17,3.25,12.0,9.88,22.5,13.5,2.0,2.25,0.0,0.25,2324,Champions_League,CL
2023-09-20,Benfica,RB Salzburg,0,2,A,Halil Umut Meler,0.0,0.0,11.83,11.83,4.5,3.67,8.17,13.17,15.5,13.5,1.5,2.67,0.33,0.0,2324,Champions_League,CL
2023-09-20,Braga,Napoli,1,2,A,Serdar Gözübüyük,0.0,0.0,14.83,13.5,3.33,4.0,10.33,11.62,22.33,19.0,1.67,1.75,0.17,0.0,2324,Champions_League,CL
2023-09-20,Arsenal,PSV,4,0,H,Felix Zwayer,0.0,0.0,12.0,15.5,4.2,5.25,13.0,10.75,12.6,19.5,1.3,1.62,0.0,0.0,2324,Champions_League,CL
2023-09-20,Real Sociedad,Inter,1,1,D,Michael Oliver,0.0,0.0,13.25,14.5,4.25,4.25,15.62,10.38,16.25,19.88,2.25,2.12,0.0,0.0,2324,Champions_League,CL
2023-09-20,Sevilla,Lens,1,1,D,Tobias Stieler,0.0,0.0,8.67,9.83,2.83,2.5,12.5,12.5,19.5,17.0,2.67,4.17,0.33,0.17,2324,Champions_League,CL
2023-09-20,Bayern Munich,Manchester Utd,4,3,H,Glenn Nyberg,0.0,0.0,13.83,11.67,4.0,4.33,10.17,10.83,13.83,13.83,1.25,2.17,0.08,0.33,2324,Champions_League,CL
2023-10-03,RB Salzburg,Real Sociedad,0,2,A,Bartosz Frankowski,0.0,0.0,11.83,13.25,3.67,4.25,13.17,15.62,13.5,16.25,2.67,2.25,0.0,0.0,2324,Champions_League,CL
2023-10-03,Union Berlin,Braga,2,3,A,Srđan Jovanović,0.0,0.0,9.5,14.83,3.33,3.33,13.5,10.33,17.33,22.33,2.67,1.67,0.0,0.17,2324,Champions_League,CL
2023-10-03,Manchester Utd,Galatasaray,2,3,A,Ivan Kružliak,0.0,0.0,11.67,15.0,4.33,4.17,10.83,12.0,13.83,22.5,2.17,2.0,0.33,0.0,2324,Champions_League,CL
2023-10-03,FC Copenhagen,Bayern Munich,1,2,A,Orel Grinfeeld,0.0,0.0,10.25,13.83,3.25,4.0,9.88,10.17,13.5,13.83,2.25,1.25,0.25,0.08,2324,Champions_League,CL
2023-10-03,PSV,Sevilla,2,2,D,Daniele Orsato,0.0,0.0,15.5,8.67,5.25,2.83,10.75,12.5,19.5,19.5,1.62,2.67,0.0,0.33,2324,Champions_League,CL
2023-10-03,Inter,Benfica,1,0,H,Danny Makkelie,0.0,0.0,14.5,11.83,4.25,4.5,10.38,8.17,19.88,15.5,2.12,1.5,0.0,0.33,2324,Champions_League,CL
2023-10-03,Napoli,Real Madrid,2,3,A,Clément Turpin,0.0,0.0,13.5,16.31,4.0,5.54,11.62,9.92,19.0,16.38,1.75,1.69,0.0,0.0,2324,Champions_League,CL
2023-10-03,Lens,Arsenal,2,1,H,Marco Guida,0.0,0.0,9.83,12.0,2.5,4.2,12.5,13.0,17.0,12.6,4.17,1.3,0.17,0.0,2324,Champions_League,CL
2023-10-04,Atlético Madrid,Feyenoord,3,2,H,François Letexier,0.0,0.0,13.6,15.0,5.2,5.0,11.5,12.17,17.3,18.83,2.5,2.33,0.1,0.0,2324,Champions_League,CL
2023-10-04,Antwerp,Shakhtar Donetsk,2,3,A,Rade Obrenović,0.0,0.0,9.17,11.5,3.5,4.33,9.67,11.67,16.33,9.5,2.5,2.5,0.33,0.0,2324,Champions_League,CL
2023-10-04,Porto,Barcelona,0,1,A,Anthony Taylor,0.0,0.0,12.88,15.8,5.62,5.5,11.75,10.4,11.62,17.7,1.88,3.0,0.0,0.2,2324,Champions_League,CL
2023-10-04,Newcastle United,Paris Saint-Germain,4,1,H,István Kovács,0.0,0.0,10.33,17.58,4.17,5.25,11.0,11.17,13.33,19.08,1.83,2.5,0.0,0.0,2324,Champions_League,CL
2023-10-04,Celtic,Lazio,1,2,A,Donatas Rumšas,0.0,0.0,7.5,11.38,3.5,3.25,8.5,10.5,10.0,13.12,2.67,3.0,0.5,0.0,2324,Champions_League,CL
2023-10-04,Dortmund,Milan,0,0,D,Szymon Marciniak,0.0,0.0,13.08,15.67,4.69,4.5,10.23,11.83,14.69,17.17,1.77,2.83,0.0,0.0,2324,Champions_League,CL
2023-10-04,Red Star,Young Boys,2,2,D,William Collum,0.0,0.0,13.83,12.17,4.5,3.5,13.67,14.5,16.5,15.83,3.5,2.5,0.0,0.17,2324,Champions_League,CL
2023-10-04,RB Leipzig,Manchester City,1,3,A,Artur Soares Dias,0.0,0.0,15.5,21.3,5.12,7.9,11.0,7.4,16.25,16.1,2.25,1.0,0.0,0.0,2324,Champions_League,CL
2023-10-24,Inter,RB Salzburg,2,1,H,François Letexier,0.0,0.0,14.5,11.83,4.25,3.67,10.38,13.17,19.88,13.5,2.12,2.67,0.0,0.0,2324,Champions_League,CL
2023-10-24,Galatasaray,Bayern Munich,1,3,A,Davide Massa,0.0,0.0,15.0,13.83,4.17,4.0,12.0,10.17,22.5,13.83,2.0,1.25,0.0,0.08,2324,Champions_League,CL
2023-10-24,Braga,Real Madrid,1,2,A,Michael Oliver,0.0,0.0,14.83,16.31,3.33,5.54,10.33,9.92,22.33,16.38,1.67,1.69,0.17,0.0,2324,Champions_League,CL
2023-10-24,Manchester Utd,FC Copenhagen,1,0,H,Marco Guida,0.0,0.0,11.67,10.25,4.33,3.25,10.83,9.88,13.83,13.5,2.17,2.25,0.33,0.25,2324,Champions_League,CL
2023-10-24,Benfica,Real Sociedad,0,1,A,Clément Turpin,0.0,0.0,11.83,13.25,4.5,4.25,8.17,15.62,15.5,16.25,1.5,2.25,0.33,0.0,2324,Champions_League,CL
2023-10-24,Lens,PSV,1,1,D,Radu Petrescu,0.0,0.0,9.83,15.5,2.5,5.25,12.5,10.75,17.0,19.5,4.17,1.62,0.17,0.0,2324,Champions_League,CL
2023-10-24,Union Berlin,Napoli,0,1,A,Irfan Peljto,0.0,0.0,9.5,13.5,3.33,4.0,13.5,11.62,17.33,19.0,2.67,1.75,0.0,0.0,2324,Champions_League,CL
2023-10-24,Sevilla,Arsenal,1,2,A,Glenn Nyberg,0.0,0.0,8.67,12.0,2.83,4.2,12.5,13.0,19.5,12.6,2.67,1.3,0.33,0.0,2324,Champions_League,CL
2023-10-25,Feyenoord,Lazio,3,1,H,Tobias Stieler,0.0,0.0,15.0,11.38,5.0,3.25,12.17,10.5,18.83,13.12,2.33,3.0,0.0,0.0,2324,Champions_League,CL
2023-10-25,Barcelona,Shakhtar Donetsk,2,1,H,Ivan Kružliak,0.0,0.0,15.8,11.5,5.5,4.33,10.4,11.67,17.7,9.5,3.0,2.5,0.2,0.0,2324,Champions_League,CL
2023-10-25,Celtic,Atlético Madrid,2,2,D,Felix Zwayer,0.0,0.0,7.5,13.6,3.5,5.2,8.5,11.5,10.0,17.3,2.67,2.5,0.5,0.1,2324,Champions_League,CL
2023-10-25,Newcastle United,Dortmund,0,1,A,Artur Soares Dias,0.0,0.0,10.33,13.08,4.17,4.69,11.0,10.23,13.33,14.69,1.83,1.77,0.0,0.0,2324,Champions_League,CL
2023-10-25,Antwerp,Porto,1,4,A,Benoît Bastien,0.0,0.0,9.17,12.88,3.5,5.62,9.67,11.75,16.33,11.62,2.5,1.88,0.33,0.0,2324,Champions_League,CL
2023-10-25,Young Boys,Manchester City,1,3,A,Morten Krogh,0.0,0.0,12.17,21.3,3.5,7.9,14.5,7.4,15.83,16.1,2.5,1.0,0.17,0.0,2324,Champions_League,CL
2023-10-25,RB Leipzig,Red Star,3,1,H,José Sánchez,0.0,0.0,15.5,13.83,5.12,4.5,11.0,13.67,16.25,16.5,2.25,3.5,0.0,0.0,2324,Champions_League,CL
2023-10-25,Paris Saint-Germain,Milan,3,0,H,Slavko Vinčič,0.0,0.0,17.58,15.67,5.25,4.5,11.17,11.83,19.08,17.17,2.5,2.83,0.0,0.0,2324,Champions_League,CL
2023-11-07,Dortmund,Newcastle United,2,0,H,Alejandro Hernández,0.0,0.0,13.08,10.33,4.69,4.17,10.23,11.0,14.69,13.33,1.77,1.83,0.0,0.0,2324,Champions_League,CL
2023-11-07,Shakhtar Donetsk,Barcelona,1,0,H,Irfan Peljto,0.0,0.0,11.5,15.8,4.33,5.5,11.67,10.4,9.5,17.7,2.5,3.0,0.0,0.2,2324,Champions_League,CL
2023-11-07,Porto,Antwerp,2,0,H,Maurizio Mariani,0.0,0.0,12.88,9.17,5.62,3.5,11.75,9.67,11.62,16.33,1.88,2.5,0.0,0.33,2324,Champions_League,CL
2023-11-07,Manchester City,Young Boys,3,0,H,Erik Lambrechts,0.0,0.0,21.3,12.17,7.9,3.5,7.4,14.5,16.1,15.83,1.0,2.5,0.0,0.17,2324,Champions_League,CL
2023-11-07,Red Star,RB Leipzig,1,2,A,Daniele Orsato,0.0,0.0,13.83,15.5,4.5,5.12,13.67,11.0,16.5,16.25,3.5,2.25,0.0,0.0,2324,Champions_League,CL
2023-11-07,Lazio,Feyenoord,1,0,H,Szymon Marciniak,0.0,0.0,11.38,15.0,3.25,5.0,10.5,12.17,13.12,18.83,3.0,2.33,0.0,0.0,2324,Champions_League,CL
2023-11-07,Atlético Madrid,Celtic,6,0,H,Ivan Kružliak,0.0,0.0,13.6,7.5,5.2,3.5,11.5,8.5,17.3,10.0,2.5,2.67,0.1,0.5,2324,Champions_League,CL
2023-11-07,Milan,Paris Saint-Germain,2,1,H,Jesús Gil,0.0,0.0,15.67,17.58,4.5,5.25,11.83,11.17,17.17,19.08,2.83,2.5,0.0,0.0,2324,Champions_League,CL
2023-11-08,Napoli,Union Berlin,1,1,D,Danny Makkelie,0.0,0.0,13.5,9.5,4.0,3.33,11.62,13.5,19.0,17.33,1.75,2.67,0.0,0.0,2324,Champions_League,CL
2023-11-08,Real Sociedad,Benfica,3,1,H,Anthony Taylor,0.0,0.0,13.25,11.83,4.25,4.5,15.62,8.17,16.25,15.5,2.25,1.5,0.0,0.33,2324,Champions_League,CL
2023-11-08,Arsenal,Sevilla,2,0,H,István Kovács,0.0,0.0,12.0,8.67,4.2,2.83,13.0,12.5,12.6,19.5,1.3,2.67,0.0,0.33,2324,Champions_League,CL
2023-11-08,Bayern Munich,Galatasaray,2,1,H,António Nobre,0.0,0.0,13.83,15.0,4.0,4.17,10.17,12.0,13.83,22.5,1.25,2.0,0.08,0.0,2324,Champions_League,CL
2023-11-08,Real Madrid,Braga,3,0,H,Halil Umut Meler,0.0,0.0,16.31,14.83,5.54,3.33,9.92,10.33,16.38,22.33,1.69,1.67,0.0,0.17,2324,Champions_League,CL
2023-11-08,FC Copenhagen,Manchester Utd,4,3,H,Donatas Rumšas,0.0,0.0,10.25,11.67,3.25,4.33,9.88,10.83,13.5,13.83,2.25,2.17,0.25,0.33,2324,Champions_League,CL
2023-11-08,RB Salzburg,Inter,0,1,A,Serdar Gözübüyük,0.0,0.0,11.83,14.5,3.67,4.25,13.17,10.38,13.5,19.88,2.67,2.12,0.0,0.0,2324,Champions_League,CL
2023-11-08,PSV,Lens,1,0,H,Daniel Siebert,0.0,0.0,15.5,9.83,5.25,2.5,10.75,12.5,19.5,17.0,1.62,4.17,0.0,0.17,2324,Champions_League,CL
2023-11-28,Lazio,Celtic,2,0,H,Halil Umut Meler,0.0,0.0,11.38,7.5,3.25,3.5,10.5,8.5,13.12,10.0,3.0,2.67,0.0,0.5,2324,Champions_League,CL
2023-11-28,Shakhtar Donetsk,Antwerp,1,0,H,Bartosz Frankowski,0.0,0.0,11.5,9.17,4.33,3.5,11.67,9.67,9.5,16.33,2.5,2.5,0.0,0.33,2324,Champions_League,CL
2023-11-28,Manchester City,RB Leipzig,3,2,H,Glenn Nyberg,0.0,0.0,21.3,15.5,7.9,5.12,7.4,11.0,16.1,16.25,1.0,2.25,0.0,0.0,2324,Champions_League,CL
2023-11-28,Young Boys,Red Star,2,0,H,Danny Makkelie,0.0,0.0,12.17,13.83,3.5,4.5,14.5,13.67,15.83,16.5,2.5,3.5,0.17,0.0,2324,Champions_League,CL
2023-11-28,Paris Saint-Germain,Newcastle United,1,1,D,Szymon Marciniak,0.0,0.0,17.58,10.33,5.25,4.17,11.17,11.0,19.08,13.33,2.5,1.83,0.0,0.0,2324,Champions_League,CL
2023-11-28,Barcelona,Porto,2,1,H,Daniele Orsato,0.0,0.0,15.8,12.88,5.5,5.62,10.4,11.75,17.7,11.62,3.0,1.88,0.2,0.0,2324,Champions_League,CL
2023-11-28,Milan,Dortmund,1,3,A,István Kovács,0.0,0.0,15.67,13.08,4.5,4.69,11.83,10.23,17.17,14.69,2.83,1.77,0.0,0.0,2324,Champions_League,CL
2023-11-28,Feyenoord,Atlético Madrid,1,3,A,Anthony Taylor,0.0,0.0,15.0,13.6,5.0,5.2,12.17,11.5,18.83,17.3,2.33,2.5,0.0,0.1,2324,Champions_League,CL
2023-11-29,Sevilla,PSV,2,3,A,Davide Massa,0.0,0.0,8.67,15.5,2.83,5.25,12.5,10.75,19.5,19.5,2.67,1.62,0.33,0.0,2324,Champions_League,CL
2023-11-29,Benfica,Inter,3,3,D,Andris Treimanis,0.0,0.0,11.83,14.5,4.5,4.25,8.17,10.38,15.5,19.88,1.5,2.12,0.33,0.0,2324,Champions_League,CL
2023-11-29,Arsenal,Lens,6,0,H,Artur Soares Dias,0.0,0.0,12.0,9.83,4.2,2.5,13.0,12.5,12.6,17.0,1.3,4.17,0.0,0.17,2324,Champions_League,CL
2023-11-29,Braga,Union Berlin,1,1,D,Clément Turpin,0.0,0.0,14.83,9.5,3.33,3.33,10.33,13.5,22.33,17.33,1.67,2.67,0.17,0.0,2324,Champions_League,CL
2023-11-29,Galatasaray,Manchester Utd,3,3,D,José Sánchez,0.0,0.0,15.0,11.67,4.17,4.33,12.0,10.83,22.5,13.83,2.0,2.17,0.0,0.33,2324,Champions_League,CL
2023-11-29,Real Madrid,Napoli,4,2,H,François Letexier,0.0,0.0,16.31,13.5,5.54,4.0,9.92,11.62,16.38,19.0,1.69,1.75,0.0,0.0,2324,Champions_League,CL
2023-11-29,Bayern Munich,FC Copenhagen,0,0,D,Stéphanie Frappart,0.0,0.0,13.83,10.25,4.0,3.25,10.17,9.88,13.83,13.5,1.25,2.25,0.08,0.25,2324,Champions_League,CL
2023-11-29,Real Sociedad,RB Salzburg,0,0,D,Mykola Balakin,0.0,0.0,13.25,11.83,4.25,3.67,15.62,13.17,16.25,13.5,2.25,2.67,0.0,0.0,2324,Champions_League,CL
2023-12-12,Lens,Sevilla,2,1,H,Felix Zwayer,0.0,0.0,9.83,8.67,2.5,2.83,12.5,12.5,17.0,19.5,4.17,2.67,0.17,0.33,2324,Champions_League,CL
2023-12-12,PSV,Arsenal,1,1,D,Tobias Stieler,0.0,0.0,15.5,12.0,5.25,4.2,10.75,13.0,19.5,12.6,1.62,1.3,0.0,0.0,2324,Champions_League,CL
2023-12-12,Manchester Utd,Bayern Munich,0,1,A,Espen Eskås,0.0,0.0,11.67,13.83,4.33,4.0,10.83,10.17,13.83,13.83,2.17,1.25,0.33,0.08,2324,Champions_League,CL
2023-12-12,RB Salzburg,Benfica,1,3,A,Daniel Siebert,0.0,0.0,11.83,11.83,3.67,4.5,13.17,8.17,13.5,15.5,2.67,1.5,0.0,0.33,2324,Champions_League,CL
2023-12-12,Union Berlin,Real Madrid,2,3,A,Rade Obrenović,0.0,0.0,9.5,16.31,3.33,5.54,13.5,9.92,17.33,16.38,2.67,1.69,0.0,0.0,2324,Champions_League,CL
2023-12-12,Napoli,Braga,2,0,H,Slavko Vinčič,0.0,0.0,13.5,14.83,4.0,3.33,11.62,10.33,19.0,22.33,1.75,1.67,0.0,0.17,2324,Champions_League,CL
2023-12-12,FC Copenhagen,Galatasaray,1,0,H,Daniele Orsato,0.0,0.0,10.25,15.0,3.25,4.17,9.88,12.0,13.5,22.5,2.25,2.0,0.25,0.0,2324,Champions_League,CL
2023-12-12,Inter,Real Sociedad,0,0,D,Sandro Schärer,0.0,0.0,14.5,13.25,4.25,4.25,10.38,15.62,19.88,16.25,2.12,2.25,0.0,0.0,2324,Champions_League,CL
2023-12-13,Red Star,Manchester City,2,3,A,Əliyar Ağayev,0.0,0.0,13.83,21.3,4.5,7.9,13.67,7.4,16.5,16.1,3.5,1.0,0.0,0.0,2324,Champions_League,CL
2023-12-13,RB Leipzig,Young Boys,2,1,H,Manfredas Lukjančukas,0.0,0.0,15.5,12.17,5.12,3.5,11.0,14.5,16.25,15.83,2.25,2.5,0.0,0.17,2324,Champions_League,CL
2023-12-13,Porto,Shakhtar Donetsk,5,3,H,István Kovács,0.0,0.0,12.88,11.5,5.62,4.33,11.75,11.67,11.62,9.5,1.88,2.5,0.0,0.0,2324,Champions_League,CL
