FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season,TotalGoals,GoalDiff,Over2.5,BTTS,HomeForm_5,HomeGF_5,HomeGA_5,Home_xG_5,Home_xGA_5,AwayForm_5,AwayGF_5,AwayGA_5,Away_xG_5,Away_xGA_5,H2H_Matches,H2H_HomeWins,H2H_AwayWins,H2H_Draws,H2H_HomeGoals,H2H_AwayGoals,Ref_AvgYellows,Ref_AvgReds,Ref_Strictness,Result_Num,Over1.5,Over3.5,HomeCleanSheet,AwayCleanSheet,HTGS,ATGS,HTGC,ATGC,HTP,ATP,MW,HTGD,ATGD,DiffPts,DiffFormPts,DiffFormGoals,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5
2,2,1,0,8,10,3,2,17,15,3,3,5,2,0,0,2223,4,0,1,1,,,,,,,,,,,0,0,0,0,0.0,0.0,4.756140350877193,0.2631578947368421,0.8531713900134954,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
4,0,4,0,13,15,7,4,6,15,8,2,0,4,0,0,2223,4,4,1,0,1.0,2.0,2.0,,,0.0,1.0,2.0,,,0,0,0,0,0.0,0.0,3.704918032786885,0.1475409836065573,0.6380832282471627,0,1,1,1,0,2.0,1.0,2.0,2.0,1.0,0.0,2.0,0.0,-1.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0
0,0,0,0,13,4,7,1,8,6,7,3,2,3,0,0,2223,0,0,0,0,3.0,2.0,1.0,,,3.0,2.0,0.0,,,0,0,0,0,0.0,0.0,2.5,0.1666666666666666,0.4615384615384615,1,0,0,1,1,2.0,2.0,1.0,0.0,3.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0
4,0,3,0,19,3,7,1,9,9,11,1,0,3,0,0,2223,4,4,1,0,3.0,2.0,0.0,,,3.0,2.0,0.0,,,0,0,0,0,0.0,0.0,4.395348837209302,0.1395348837209302,0.740608228980322,0,1,1,1,0,2.0,2.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0
2,2,0,0,14,13,4,5,10,12,2,5,1,3,0,0,2223,4,0,1,1,0.0,1.0,4.0,,,3.0,2.0,1.0,,,0,0,0,0,0.0,0.0,3.882352941176471,0.1176470588235294,0.6515837104072398,1,1,1,0,0,1.0,2.0,4.0,1.0,0.0,3.0,2.0,-3.0,1.0,-3.0,-3.0,0.0,0.0,3.0,0,0,0,0,0,0,0,0
0,0,0,0,7,9,1,3,7,14,5,3,3,3,0,0,2223,0,0,0,0,0.0,1.0,2.0,,,1.0,2.0,2.0,,,0,0,0,0,0.0,0.0,4.396551724137931,0.1034482758620689,0.7241379310344828,1,0,0,1,1,1.0,2.0,2.0,2.0,0.0,1.0,2.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0
1,0,1,0,13,19,6,5,10,11,6,7,4,1,0,0,2223,1,1,0,0,0.0,0.0,2.0,,,0.0,0.0,2.0,,,0,0,0,0,0.0,0.0,4.171428571428572,0.1285714285714285,0.701098901098901,0,0,0,1,0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1,2,1,0,10,29,6,15,11,4,2,15,3,1,0,0,2223,3,-1,1,1,,,,,,,,,,,0,0,0,0,0.0,0.0,4.756140350877193,0.2631578947368421,0.8531713900134954,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2,2,1,0,16,10,3,5,9,9,8,5,3,0,0,0,2223,4,0,1,1,3.0,1.0,0.0,,,3.0,4.0,1.0,,,0,0,0,0,0.0,0.0,3.770114942528736,0.1494252873563218,0.6489832007073386,1,1,1,0,0,1.0,4.0,0.0,1.0,3.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0
1,0,1,0,17,5,2,1,18,14,4,4,2,3,1,0,2223,1,1,0,0,,,,,,,,,,,0,0,0,0,0.0,0.0,4.756140350877193,0.2631578947368421,0.8531713900134954,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0,1,0,1,7,15,2,7,9,20,3,6,4,2,0,0,2223,1,-1,0,0,,,,,,,,,,,0,0,0,0,0.0,0.0,4.756140350877193,0.2631578947368421,0.8531713900134954,2,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0,3,0,1,10,12,0,5,14,19,3,6,2,1,0,0,2223,3,-3,1,0,,,,,,,,,,,0,0,0,0,0.0,0.0,4.756140350877193,0.2631578947368421,0.8531713900134954,2,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
3,0,2,0,17,4,8,2,10,18,8,4,3,6,0,1,2223,3,3,1,0,,,,,,,,,,,0,0,0,0,0.0,0.0,4.756140350877193,0.2631578947368421,0.8531713900134954,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
